partner_A	partner_B	ligand_genes	receptor_genes	classification	directionality	id_cp_interaction
775	1506	COL19A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC079D293A2
197	1506	COL1A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC08DBCCFF0
264	1506	COL1A2	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC09DB9D20A
1012	1506	COL20A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0804EB2C0
911	1506	COL21A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC065DB6486
869	1506	COL22A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0713C9654
799	1506	COL24A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC073A7317A
903	1506	COL26A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC01E6BE079
852	1506	COL27A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC050F64BB5
804	1506	COL28A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC01C274A51
198	1506	COL2A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0EA8ABCFD
199	1506	COL3A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC00367777A
